,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Weekend_special
125,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,FALSE,FALSE,FALSE
126,0,0,0,0,1,2,1,0,0,0.4,1,2,2,1,3,1,FALSE,FALSE,FALSE
127,0,0,0,0,1,1,1,0,0,0.4,1,1,1,8,3,1,FALSE,FALSE,FALSE
128,1,2,0,0,2,3,1,1,0,0.6,1,2,2,9,3,1,FALSE,FALSE,FALSE
129,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,FALSE,FALSE,FALSE
130,0,0,0,0,0,1,1,0,0,0,1,2,6,1,2,1,TRUE,FALSE,FALSE
131,0,1,0,0,1,1,1,1,0,0,1,2,2,1,6,1,FALSE,FALSE,FALSE
132,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,1,FALSE,FALSE,FALSE
133,0,0,0,0,0,3,1,1,0,0.8,1,2,2,4,3,1,FALSE,FALSE,FALSE
134,1,2,0,0,1,1,1,1,0,0.6,1,1,1,3,3,1,FALSE,FALSE,FALSE
135,0,0,0,0,0,0,1,0,0,0,1,3,2,4,2,1,FALSE,FALSE,FALSE
136,0,0,0,0,1,1,1,0,0,0,1,2,4,5,2,1,FALSE,FALSE,FALSE
137,0,0,0,0,0,0,1,0,0,0,1,2,4,1,5,1,FALSE,FALSE,FALSE
138,0,0,0,0,0,0,0,0,0,0.4,1,2,2,1,4,1,FALSE,FALSE,FALSE
139,1,2,0,0,1,2,1,1,0,0.2,1,1,1,3,3,1,FALSE,FALSE,FALSE
140,0,0,0,0,0,0,0,0,0,0,1,2,2,7,3,1,FALSE,FALSE,FALSE
141,0,0,0,0,1,1,1,1,0,0.2,1,1,1,6,3,1,FALSE,FALSE,FALSE
142,1,1,0,0,1,1,1,1,0,0,1,2,4,2,3,1,FALSE,FALSE,FALSE
143,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,FALSE,FALSE,FALSE
144,0,0,1,1,1,2,1,1,0,0,1,2,2,3,6,1,FALSE,FALSE,FALSE
145,0,0,0,0,0,2,0,0,0,0.4,1,2,4,1,3,1,FALSE,FALSE,FALSE
146,0,0,0,0,0,2,1,0,0,0,1,2,2,1,1,1,FALSE,FALSE,FALSE
147,0,0,0,0,0,1,1,0,0,0,1,2,2,3,3,1,FALSE,FALSE,FALSE
148,0,0,0,0,1,2,1,0,0,0,1,1,1,4,3,1,FALSE,FALSE,FALSE
149,0,0,0,0,1,1,1,0,0,0.8,1,2,2,2,1,1,FALSE,FALSE,FALSE
150,0,0,0,0,1,2,1,0,0,0,1,1,2,1,1,1,FALSE,FALSE,FALSE
151,0,0,0,0,0,0,0,0,0,0.4,1,2,2,3,4,1,FALSE,FALSE,FALSE
152,0,0,0,0,0,0,0,0,0,0,1,2,5,5,1,1,FALSE,FALSE,FALSE
153,0,0,0,0,1,2,1,0,0,0.2,1,2,2,3,3,1,FALSE,FALSE,FALSE
154,0,0,0,0,1,1,1,0,0,0,1,2,6,1,1,1,FALSE,FALSE,FALSE
155,0,0,0,0,1,2,0,0,0,0,1,3,2,2,1,1,TRUE,FALSE,FALSE
156,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,1,TRUE,FALSE,FALSE
157,0,0,0,0,0,0,1,0,0,0.8,1,1,1,1,3,1,TRUE,FALSE,TRUE
158,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,FALSE,FALSE,FALSE
159,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,1,FALSE,FALSE,FALSE
160,0,0,0,0,1,1,1,1,0,0.6,1,1,1,4,2,1,FALSE,FALSE,FALSE
161,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,TRUE,FALSE,FALSE
162,0,1,0,0,1,2,1,1,0,0,1,1,1,1,2,1,TRUE,FALSE,FALSE
163,0,0,0,0,0,1,1,1,0,0.4,1,1,1,3,3,1,FALSE,FALSE,FALSE
164,0,0,0,0,1,2,1,1,0,0.6,1,2,2,1,3,1,FALSE,FALSE,FALSE
165,0,0,0,0,1,0,1,0,0,0,1,1,1,3,2,1,FALSE,FALSE,FALSE
166,0,0,0,0,0,0,1,0,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
167,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,FALSE,FALSE,FALSE
168,0,0,0,0,1,2,0,0,0,0,1,2,4,6,1,1,FALSE,FALSE,FALSE
169,0,0,0,0,1,2,1,1,0,0.8,1,3,2,7,4,1,TRUE,FALSE,TRUE
170,0,0,0,0,1,1,1,1,0,0.8,1,1,1,2,4,1,TRUE,FALSE,TRUE
171,0,0,0,0,1,1,1,0,0,0,1,2,4,1,3,1,FALSE,FALSE,FALSE
172,0,0,0,0,0,0,0,0,0,0.6,1,1,1,1,3,1,FALSE,FALSE,FALSE
173,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,2,1,TRUE,FALSE,TRUE
174,1,1,0,0,1,1,1,1,0,1,1,2,2,8,1,1,TRUE,FALSE,TRUE
175,1,1,0,0,1,1,1,1,0,0,1,1,1,2,3,1,FALSE,FALSE,FALSE
176,0,0,0,0,0,2,1,1,0,0,1,1,1,6,2,1,FALSE,FALSE,FALSE
177,0,0,0,0,1,1,1,0,0,0,1,1,1,1,4,1,FALSE,FALSE,FALSE
178,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,1,FALSE,FALSE,FALSE
179,0,0,0,0,0,0,0,0,0,0.6,1,1,1,6,2,1,FALSE,FALSE,FALSE
180,0,0,0,0,1,1,1,1,0,0,1,3,2,6,2,1,TRUE,FALSE,FALSE
181,0,0,0,0,0,0,0,0,0,0.6,1,4,2,1,3,1,FALSE,FALSE,FALSE
182,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,FALSE,FALSE,FALSE
183,0,0,0,0,1,1,1,1,0,0.8,1,3,2,1,3,1,TRUE,FALSE,TRUE
184,0,0,1,1,0,1,1,1,0,0,3,2,2,1,8,1,FALSE,FALSE,FALSE
185,0,0,0,0,1,2,1,0,8.000740741,0,3,1,1,3,1,1,FALSE,FALSE,FALSE
186,0,1,0,0,2,2,1,1,0,0,3,2,2,3,2,1,FALSE,FALSE,FALSE
187,1,2,1,1,2,3,1,1,0,0,3,3,2,6,2,1,TRUE,FALSE,FALSE
188,1,2,1,1,2,3,1,1,1.706014966,0,3,2,2,7,2,1,FALSE,TRUE,FALSE
189,1,1,1,1,2,3,1,1,46.53017511,0,3,2,2,1,1,1,FALSE,FALSE,FALSE
190,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,1,FALSE,FALSE,FALSE
191,1,2,1,1,1,3,0,0,0,0,3,2,2,1,2,1,FALSE,FALSE,FALSE
192,1,1,0,0,1,1,1,1,0,0,3,1,1,1,1,1,FALSE,FALSE,FALSE
193,0,0,0,0,0,0,1,0,0,0,3,2,2,3,1,1,FALSE,FALSE,FALSE
194,0,0,0,0,1,1,1,0,0,0,3,1,1,7,2,1,TRUE,FALSE,FALSE
195,0,0,0,0,2,3,1,1,0,0,3,1,1,1,3,1,FALSE,FALSE,FALSE
196,0,1,1,1,2,3,1,1,19.34265017,0,3,2,2,4,2,2,FALSE,TRUE,FALSE
197,1,2,0,0,1,3,1,0,0,0,3,2,2,1,2,1,FALSE,FALSE,FALSE
198,0,0,0,0,1,2,1,1,109.176,0,3,2,2,9,2,2,FALSE,TRUE,FALSE
199,1,2,1,1,2,3,1,1,96.25511582,0,3,2,4,1,2,2,TRUE,TRUE,FALSE
200,0,1,0,0,2,3,1,1,153.4432478,0,3,2,2,7,8,1,TRUE,TRUE,FALSE
201,0,0,0,0,0,0,1,0,0,0,3,1,1,1,9,1,TRUE,FALSE,FALSE
202,1,2,0,0,1,1,1,1,0,0,3,1,1,1,2,2,FALSE,FALSE,FALSE
203,0,0,0,0,0,0,1,0,0,0,3,1,2,1,8,1,FALSE,FALSE,FALSE
204,0,2,0,0,1,1,1,1,0,0,3,3,2,1,10,1,FALSE,FALSE,FALSE
205,1,2,0,0,1,1,1,1,0,0,3,2,2,5,2,2,FALSE,FALSE,FALSE
206,0,1,0,0,1,2,1,1,33.79956701,0,3,2,5,2,3,2,FALSE,TRUE,FALSE
207,0,1,0,0,0,1,1,0,0,0,3,2,2,7,2,2,TRUE,FALSE,FALSE
208,1,2,0,0,0,0,1,1,0,0,3,3,2,7,1,2,FALSE,FALSE,FALSE
209,0,0,0,0,1,2,1,0,0,0,3,2,4,1,3,1,FALSE,FALSE,FALSE
210,0,1,1,1,0,1,0,0,0,0,3,3,2,3,2,1,FALSE,FALSE,FALSE
211,0,0,0,0,1,1,0,0,0,0,3,2,6,3,1,1,FALSE,FALSE,FALSE
212,0,0,0,0,0,0,1,0,0,0,3,3,2,8,11,1,FALSE,FALSE,FALSE
213,1,1,0,0,0,1,1,0,0,0,3,1,2,6,6,1,TRUE,FALSE,FALSE
214,0,0,1,1,1,1,1,0,0,0,3,2,2,1,2,1,FALSE,FALSE,FALSE
215,0,2,1,1,1,1,1,1,0,0,3,2,2,4,1,1,FALSE,FALSE,FALSE
216,0,2,0,0,0,0,1,0,0,0,3,1,2,7,3,1,FALSE,FALSE,FALSE
217,0,0,0,0,1,2,1,0,0,0,3,2,4,2,2,1,FALSE,FALSE,FALSE
218,0,0,0,0,1,1,0,0,0,0,3,2,2,3,2,1,FALSE,FALSE,FALSE
219,0,0,0,0,0,0,1,0,0,0,3,2,4,3,12,1,FALSE,FALSE,FALSE
220,0,1,0,0,1,2,1,1,35.0928,0,3,2,2,5,1,1,FALSE,TRUE,FALSE
221,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,FALSE,FALSE,FALSE
222,0,0,0,0,0,0,0,0,0,0,3,3,2,1,1,1,FALSE,FALSE,FALSE
223,0,1,0,0,0,1,1,1,0,0,3,2,2,1,8,2,FALSE,FALSE,FALSE
224,0,2,0,0,1,3,1,1,0,0,3,3,2,4,2,1,FALSE,FALSE,FALSE
225,0,0,0,0,0,0,1,0,0,0,3,2,2,3,11,1,TRUE,FALSE,FALSE
226,1,1,1,1,1,3,1,1,0,0,3,2,2,4,1,1,FALSE,FALSE,FALSE
227,0,0,0,0,1,0,1,1,0,0,3,2,2,1,3,1,FALSE,FALSE,FALSE
228,0,0,0,0,1,3,1,1,17.76266667,0,3,2,2,1,1,1,FALSE,TRUE,FALSE
229,0,0,0,0,1,3,1,1,0,0,3,2,2,1,3,1,FALSE,FALSE,FALSE
230,0,1,0,0,2,2,1,1,7.146260888,0,3,2,2,7,9,1,TRUE,FALSE,FALSE
231,1,2,0,0,1,3,1,1,0,0,3,2,2,3,2,1,FALSE,FALSE,FALSE
232,0,0,0,0,1,0,1,0,0,0,3,4,1,1,3,1,TRUE,FALSE,FALSE
233,0,1,1,1,2,2,1,1,22.03276923,0,3,2,2,3,2,1,TRUE,FALSE,FALSE
234,0,2,0,0,1,1,1,0,0,0,3,3,2,2,1,1,TRUE,FALSE,FALSE
235,1,1,1,1,0,0,1,1,0,0,3,3,2,2,2,1,FALSE,FALSE,FALSE
236,1,2,0,0,1,3,1,1,0,0,3,3,2,1,8,1,TRUE,FALSE,FALSE
237,1,2,0,0,1,2,1,0,0,0,3,2,6,1,1,1,TRUE,FALSE,FALSE
238,0,0,0,0,1,1,1,1,0,0,3,3,2,2,3,1,TRUE,FALSE,FALSE
239,0,0,0,0,1,2,1,0,0,0,3,2,2,4,3,1,FALSE,FALSE,FALSE
240,1,1,1,1,2,2,0,0,0,0,3,2,2,2,2,1,FALSE,FALSE,FALSE
241,0,1,0,0,1,1,0,0,0,0,3,2,5,1,3,1,FALSE,FALSE,FALSE
242,0,0,0,0,1,3,0,0,0,0,3,2,2,8,1,1,FALSE,FALSE,FALSE
243,0,0,1,1,1,3,0,0,0,0,3,2,2,1,3,1,TRUE,FALSE,FALSE
244,0,0,0,0,0,2,1,1,0,0,3,2,10,1,2,1,FALSE,FALSE,FALSE
245,0,0,0,0,1,2,1,1,0,0,3,4,1,1,3,1,FALSE,FALSE,FALSE
246,0,0,0,0,1,2,1,0,0,0,3,2,2,8,1,1,FALSE,FALSE,FALSE
247,0,1,0,0,1,1,0,0,0,0,3,3,3,1,1,1,FALSE,FALSE,FALSE
248,1,2,0,0,1,2,1,1,4.368515556,0,3,2,2,3,2,1,FALSE,TRUE,FALSE
249,0,1,1,1,2,3,1,1,0,0,3,3,2,2,1,1,TRUE,FALSE,FALSE
250,0,2,1,1,2,3,1,1,0,0,3,3,2,9,3,1,TRUE,FALSE,FALSE
251,0,0,0,0,1,3,1,0,0,0,3,2,5,1,1,1,FALSE,FALSE,FALSE
252,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,FALSE,FALSE,FALSE
253,0,0,0,0,0,0,0,0,0,0,3,2,5,2,1,1,FALSE,FALSE,FALSE
254,0,0,0,0,0,0,1,0,0,0,3,2,2,5,1,1,TRUE,FALSE,FALSE
255,1,2,0,0,1,2,1,0,0,0,3,1,1,1,1,1,FALSE,FALSE,FALSE
256,0,1,0,0,0,0,1,0,0,0,3,3,2,3,2,1,FALSE,FALSE,FALSE
257,1,2,0,0,0,2,1,1,0,0,3,1,1,7,8,1,FALSE,FALSE,FALSE
258,0,0,0,0,2,2,1,1,0,0,3,1,1,3,1,1,FALSE,FALSE,FALSE
259,0,0,1,0,0,1,1,0,0,0,3,2,2,1,8,2,FALSE,FALSE,FALSE
260,1,1,0,0,1,1,1,0,0,0,3,7,1,6,1,1,TRUE,FALSE,FALSE
261,0,0,0,0,0,0,0,0,0,0,3,3,3,5,2,1,FALSE,FALSE,FALSE
262,0,2,1,1,1,3,1,1,8.772473118,0,3,2,2,3,2,1,TRUE,TRUE,FALSE
263,0,0,0,0,1,0,1,0,0,0,3,2,2,1,1,1,FALSE,FALSE,FALSE
264,0,0,0,0,1,1,1,1,0,0,3,2,2,7,2,1,FALSE,FALSE,FALSE
265,0,0,0,0,2,3,1,1,51.46331148,0,3,2,5,3,1,1,TRUE,TRUE,FALSE
266,0,0,0,0,1,1,1,1,0,0,3,1,8,7,2,1,FALSE,FALSE,FALSE
267,0,0,0,0,0,0,1,0,0,0,3,2,2,1,10,1,FALSE,FALSE,FALSE
268,0,0,0,0,1,3,1,0,0,0,3,2,4,1,1,1,FALSE,FALSE,FALSE
269,0,0,0,0,0,1,1,1,0,0,3,1,1,1,3,1,TRUE,FALSE,FALSE
270,0,1,0,0,1,1,0,0,0,0,3,3,2,1,1,1,TRUE,FALSE,FALSE
271,0,0,0,0,0,0,0,0,0,0,3,2,5,1,1,1,FALSE,FALSE,FALSE
272,0,1,1,1,1,1,1,1,0,0,3,1,1,1,8,2,FALSE,FALSE,FALSE
273,1,1,0,0,2,2,1,1,0,0,3,2,5,3,3,1,FALSE,FALSE,FALSE
274,0,0,0,0,0,0,0,1,0,0,3,1,1,2,9,1,TRUE,FALSE,FALSE
275,0,0,0,0,0,0,1,0,0,0,3,2,5,6,1,1,FALSE,FALSE,FALSE
